顺义,2日（今天）,雷阵雨转大雨,29℃,24℃
顺义,3日（明天）,阴转晴,33℃,24℃
顺义,4日（后天）,多云,34℃,25℃
顺义,5日（周六）,阴转雷阵雨,33℃,24℃
顺义,6日（周日）,多云,32℃,24℃
顺义,7日（周一）,多云,32℃,24℃
顺义,8日（周二）,阴转雷阵雨,32℃,23℃
城市,日期,天气,最高温度,最低温度
海淀,2日（今天）,雷阵雨转中雨,30℃,24℃
海淀,3日（明天）,阴转晴,34℃,23℃
海淀,4日（后天）,多云,34℃,26℃
海淀,5日（周六）,阴转雷阵雨,34℃,25℃
海淀,6日（周日）,多云,33℃,25℃
海淀,7日（周一）,多云,33℃,25℃
海淀,8日（周二）,阴转雷阵雨,33℃,24℃
朝阳,2日（今天）,雷阵雨转中雨,30℃,24℃
朝阳,3日（明天）,阴转晴,33℃,24℃
朝阳,4日（后天）,多云,34℃,25℃
朝阳,5日（周六）,阴转雷阵雨,33℃,24℃
朝阳,6日（周日）,多云,32℃,24℃
朝阳,7日（周一）,多云,32℃,24℃
朝阳,8日（周二）,阴转雷阵雨,32℃,23℃
顺义,2日（今天）,雷阵雨转大雨,29℃,24℃
顺义,3日（明天）,阴转晴,33℃,24℃
顺义,4日（后天）,多云,34℃,25℃
顺义,5日（周六）,阴转雷阵雨,33℃,24℃
顺义,6日（周日）,多云,32℃,24℃
顺义,7日（周一）,多云,32℃,24℃
顺义,8日（周二）,阴转雷阵雨,32℃,23℃
